ticker,company_name,cik,fundamentals_status,market_cap_status,model_output_status,filing_10k_status,filing_10q_status,current_market_status,final_data_status,failure_reason
AAPL,Apple Inc,320193,cached,ok,ok,ok,ok,ok,available,
MSFT,Microsoft Corp,789019,cached,ok,ok,ok,ok,pending,available,
GOOGL,Alphabet Inc,1288776,no_data,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,failed,extract returned 0 rows
AMZN,Amazon.com Inc,1018724,cached,ok,ok,ok,ok,pending,available,
META,Meta Platforms Inc,1326801,cached,ok,ok,ok,ok,pending,available,
NVDA,Nvidia Corp,1045810,cached,ok,ok,ok,ok,pending,available,
TSLA,Tesla Inc,1318605,cached,ok,ok,ok,ok,pending,available,
ORCL,Oracle Corp,1341439,cached,ok,ok,ok,ok,pending,available,
NFLX,Netflix Inc,1065280,cached,ok,ok,ok,ok,pending,available,
ADBE,Adobe Inc,796343,cached,ok,ok,ok,ok,pending,available,
AMD,Advanced Micro Devices,2488,cached,ok,ok,ok,ok,ok,available,
AVGO,Broadcom Inc,1730168,cached,ok,ok,ok,ok,ok,available,
CSCO,Cisco Systems Inc,858877,cached,ok,ok,ok,ok,pending,available,
INTC,Intel Corp,50863,cached,ok,ok,ok,ok,pending,available,
MU,Micron Technology Inc,723125,cached,ok,ok,ok,ok,pending,available,
QCOM,Qualcomm Inc,804328,cached,ok,ok,ok,ok,pending,available,
TXN,Texas Instruments Inc,97476,cached,ok,ok,ok,ok,pending,available,
AMAT,Applied Materials Inc,6951,cached,ok,ok,ok,ok,pending,available,
ADI,Analog Devices Inc,6281,cached,ok,ok,ok,ok,pending,available,
LRCX,Lam Research Corp,707549,cached,ok,ok,ok,ok,pending,available,
KLAC,KLA Corp,319201,cached,ok,ok,ok,ok,ok,available,
MCHP,Microchip Technology Inc,827054,cached,ok,ok,ok,ok,ok,available,
ON,ON Semiconductor Corp,863894,cached,ok,ok,ok,ok,ok,available,
SWKS,Skyworks Solutions Inc,4127,cached,ok,ok,ok,ok,ok,available,
MRVL,Marvell Technology Inc,1058057,cached,ok,ok,ok,ok,ok,available,
CRM,Salesforce Inc,1108524,cached,ok,ok,ok,ok,pending,available,
INTU,Intuit Inc,896878,cached,ok,ok,ok,ok,pending,available,
ADSK,Autodesk Inc,769397,cached,ok,ok,ok,ok,pending,available,
NOW,ServiceNow Inc,1373715,cached,ok,ok,ok,ok,ok,available,
PANW,Palo Alto Networks Inc,1327567,cached,ok,ok,ok,ok,ok,available,
FTNT,Fortinet Inc,1262039,cached,ok,ok,ok,ok,ok,available,
WDAY,Workday Inc,1327811,cached,ok,ok,ok,ok,ok,available,
