ticker,company_name,cik,year,form_type,filing_date,report_date,accession_number,primary_doc,filing_url,filing_text_path,fetch_status,failure_reason
ADBE,Adobe Systems Inc,796343,2011,10-K,2012-01-26,2011-12-02,0000796343-12-000003,adbe10kfy11.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634312000003/adbe10kfy11.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2011.txt,found,
ADBE,Adobe Systems Inc,796343,2012,10-K,2013-01-22,2012-11-30,0000796343-13-000008,adbe10kfy12.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634313000008/adbe10kfy12.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2012.txt,found,
ADBE,Adobe Systems Inc,796343,2013,10-K,2014-01-21,2013-11-29,0000796343-14-000004,adbe10kfy13.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634314000004/adbe10kfy13.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2013.txt,found,
ADBE,Adobe Systems Inc,796343,2014,10-K,2015-01-20,2014-11-28,0000796343-15-000022,adbe10kfy14.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634315000022/adbe10kfy14.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2014.txt,found,
ADBE,Adobe Systems Inc,796343,2015,10-K,2016-01-19,2015-11-27,0000796343-16-000224,adbe10kfy15.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634316000224/adbe10kfy15.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2015.txt,found,
ADBE,Adobe Systems Inc,796343,2017,10-K,2018-01-22,2017-12-01,0000796343-18-000015,adbe10kfy17.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634318000015/adbe10kfy17.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2017.txt,found,
ADBE,Adobe Systems Inc,796343,2018,10-K,2019-01-25,2018-11-30,0000796343-19-000019,adbe10kfy18.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634319000019/adbe10kfy18.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2018.txt,found,
ADBE,Adobe Systems Inc,796343,2019,10-K,2020-01-21,2019-11-29,0000796343-20-000013,adbe10kfy19.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2019.txt,found,
ADBE,Adobe Systems Inc,796343,2020,10-K,2021-01-15,2020-11-27,0000796343-21-000004,adbe-20201127.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/adbe-20201127.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2020.txt,found,
ADBE,Adobe Systems Inc,796343,2021,10-K,2022-01-21,2021-12-03,0000796343-22-000032,adbe-20211203.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/adbe-20211203.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2021.txt,found,
ADBE,Adobe Systems Inc,796343,2022,10-K,2023-01-17,2022-12-02,0000796343-23-000007,adbe-20221202.htm,https://www.sec.gov/Archives/edgar/data/796343/000079634323000007/adbe-20221202.htm,/Users/bao/equity_screener/sec_filing_text_cache/ADBE_2022.txt,found,
