ticker,company_name,latest_model_year,annual_10k_risk_score,annual_10k_filing_date,latest_10q_risk_score,latest_10q_filing_date,filing_risk_delta,filing_risk_trend,current_risk_warning_text
AAPL,,2024.0,73.3,,68.3,2026-05-01,-5.0,Stable,
ABBV,,2024.0,41.1,,62.6,2026-05-08,21.5,Increasing,
ABT,,2024.0,91.4,,51.9,2026-04-29,-39.5,Decreasing,10-Q text unusually short; score may be inflated.
ADBE,,2024.0,10.5,,40.1,2026-06-15,29.6,Increasing,
ADI,,2024.0,56.0,,28.8,2026-05-20,-27.2,Decreasing,
ADSK,,2024.0,55.4,,44.7,2026-05-29,-10.7,Decreasing,
AKAM,,2024.0,57.4,,41.2,2026-05-08,-16.2,Decreasing,
AMAT,,2024.0,66.8,,45.2,2026-05-21,-21.6,Decreasing,
AMD,,2024.0,37.1,,36.5,2026-05-06,-0.6,Stable,
AMGN,,2024.0,31.8,,43.0,2026-05-01,11.2,Increasing,
AMT,American Tower Corp,,,,,,,Unavailable,Failed to fetch submissions for CIK 1053354
AMZN,,2024.0,66.3,,55.4,2026-04-30,-10.9,Decreasing,
ATVI,Activision Blizzard Inc,,,,47.7,2023-07-31,,Unavailable,
AVGO,,2024.0,64.6,,68.3,2026-06-09,3.7,Stable,
AXP,,2024.0,84.9,,87.6,2026-04-23,2.7,Stable,
BA,,2024.0,84.3,,43.4,2026-04-22,-40.9,Decreasing,
BAC,,2024.0,21.4,,76.5,2026-05-01,55.1,Increasing,
BIIB,,2024.0,31.1,,61.0,2026-04-29,29.9,Increasing,
BKNG,,2024.0,70.0,,43.5,2026-04-28,-26.5,Decreasing,
BLK,,2023.0,42.8,,38.3,2024-08-06,-4.5,Stable,
BMY,,2024.0,30.3,,54.8,2026-04-30,24.5,Increasing,
C,,2019.0,29.5,,63.0,2026-05-07,33.5,Increasing,
CAT,,2024.0,78.8,,57.8,2026-05-06,-21.0,Decreasing,
CB,,2024.0,52.2,,46.3,2026-04-28,-5.9,Stable,
CDNS,,2024.0,62.1,,44.7,2026-05-01,-17.4,Decreasing,
CHTR,,2024.0,31.0,,34.7,2026-04-24,3.7,Stable,
CL,,2024.0,76.0,,30.8,2026-05-01,-45.2,Decreasing,10-Q text unusually short; score may be inflated.
CMCSA,,2024.0,29.1,,27.7,2026-04-23,-1.4,Stable,
CME,,2024.0,58.5,,61.8,2026-04-24,3.3,Stable,
COF,,2024.0,61.5,,30.6,2026-05-07,-30.9,Decreasing,
COP,,2024.0,92.2,,61.5,2026-04-30,-30.7,Decreasing,
COST,,2024.0,71.2,,45.4,2026-06-03,-25.8,Decreasing,
CRM,,2024.0,64.0,,33.5,2026-05-28,-30.5,Decreasing,
CSCO,,2024.0,36.4,,45.8,2026-05-19,9.4,Stable,
CTSH,,2024.0,61.4,,48.8,2026-04-29,-12.6,Decreasing,
CVS,,2024.0,28.9,,46.7,2026-05-06,17.8,Increasing,
CVX,,2024.0,86.3,,66.9,2026-05-07,-19.4,Decreasing,
DDOG,,2024.0,36.9,,27.8,2026-02-27,-9.1,Stable,
DE,,2024.0,72.3,,,2026-05-28,,Unavailable,text too short (11 words)
DIS,,2018.0,12.9,,57.0,2019-02-05,44.1,Increasing,10-Q text unusually short; score may be inflated.
DUK,,2024.0,83.6,,51.3,2026-05-05,-32.3,Decreasing,
EA,,2024.0,67.8,,35.7,2026-02-03,-32.1,Decreasing,
EBAY,,2024.0,72.9,,59.8,2026-04-29,-13.1,Decreasing,
EQIX,,2024.0,89.9,,69.7,2026-04-29,-20.2,Decreasing,
FDX,FedEx Corp,,,,,,,Unavailable,Failed to fetch submissions for CIK 230569
FTNT,,2024.0,71.6,,62.3,2026-05-08,-9.3,Stable,
GE,GE Aerospace,,,,49.9,2015-11-02,,Unavailable,10-Q text unusually short; score may be inflated.
GILD,,2024.0,65.1,,85.8,2026-04-23,20.7,Increasing,
GOOGL,,2015.0,54.3,,49.5,2015-10-29,-4.8,Stable,10-Q text unusually short; score may be inflated.
GRMN,,2024.0,60.0,,44.5,2026-04-29,-15.5,Decreasing,
GS,Goldman Sachs Group Inc,,,,42.3,2026-05-01,,Unavailable,
HCA,,2024.0,38.6,,62.4,2026-04-29,23.8,Increasing,
HD,,2024.0,38.2,,57.3,2026-05-27,19.1,Increasing,
HON,,2024.0,63.6,,44.6,2026-04-23,-19.0,Decreasing,
HPQ,,2024.0,46.8,,64.8,2026-05-28,18.0,Increasing,
ICE,,2024.0,72.0,,60.4,2026-04-30,-11.6,Decreasing,
INTC,,2024.0,23.9,,48.3,2026-04-24,24.4,Increasing,10-Q text unusually short; score may be inflated.
INTU,,2024.0,36.1,,38.2,2026-05-20,2.1,Stable,
ISRG,,2024.0,41.3,,58.0,2026-04-22,16.7,Increasing,
JNJ,,2024.0,89.1,,53.7,2026-04-22,-35.4,Decreasing,
JNPR,Juniper Networks Inc,,,,59.4,2025-05-09,,Unavailable,
JPM,,2024.0,74.9,,45.2,2026-05-01,-29.7,Decreasing,
KLAC,,2024.0,67.5,,48.3,2026-04-30,-19.2,Decreasing,
