ticker,year,report_risk_score_real,risk_score_source,risk_score_components,filing_data_quality_flag,filing_warning_text
ADBE,2011,5.0,real_sec_filing,"risk_per1k=1.5, debt=3, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2012,5.5,real_sec_filing,"risk_per1k=1.7, debt=3, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2013,2.7,real_sec_filing,"risk_per1k=2.1, debt=0, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2014,3.5,real_sec_filing,"risk_per1k=1.8, debt=1, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2015,2.4,real_sec_filing,"risk_per1k=1.7, debt=0, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2017,4.3,real_sec_filing,"risk_per1k=1.6, debt=2, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2018,3.1,real_sec_filing,"risk_per1k=1.1, debt=1, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2019,9.6,real_sec_filing,"risk_per1k=1.1, debt=5, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2020,9.5,real_sec_filing,"risk_per1k=1.1, debt=5, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2021,9.5,real_sec_filing,"risk_per1k=1.1, debt=5, legal=1, uncertainty=0, cost+cyber=0",ok,
ADBE,2022,8.3,real_sec_filing,"risk_per1k=1.1, debt=4, legal=1, uncertainty=0, cost+cyber=1",ok,
ADBE,2023,8.3,real_sec_filing,"risk_per1k=1.8, debt=3, legal=1, uncertainty=0, cost+cyber=3",ok,
ADBE,2024,10.5,real_sec_filing,"risk_per1k=1.9, debt=4, legal=1, uncertainty=0, cost+cyber=4",ok,
ADI,2011,65.5,real_sec_filing,"risk_per1k=10.6, debt=28, legal=28, uncertainty=41, cost+cyber=5",ok,
ADI,2012,63.9,real_sec_filing,"risk_per1k=10.2, debt=28, legal=26, uncertainty=40, cost+cyber=6",ok,
ADI,2013,87.1,real_sec_filing,"risk_per1k=18.4, debt=32, legal=24, uncertainty=38, cost+cyber=4",ok,
ADI,2014,86.2,real_sec_filing,"risk_per1k=17.7, debt=35, legal=25, uncertainty=38, cost+cyber=5",ok,
ADI,2015,87.3,real_sec_filing,"risk_per1k=17.6, debt=35, legal=29, uncertainty=39, cost+cyber=5",ok,
ADI,2017,55.0,real_sec_filing,"risk_per1k=9.2, debt=27, legal=18, uncertainty=39, cost+cyber=3",ok,
ADI,2018,56.5,real_sec_filing,"risk_per1k=9.1, debt=27, legal=21, uncertainty=39, cost+cyber=4",ok,
ADI,2019,60.6,real_sec_filing,"risk_per1k=9.6, debt=25, legal=25, uncertainty=32, cost+cyber=9",ok,
