ticker,company_name,cik,latest_10q_filing_date,latest_10q_period,latest_10q_form_type,latest_10q_total_words,latest_10q_risk_word_count,latest_10q_risk_score,latest_10q_risk_words_per_1000,latest_10q_debt_liquidity_mentions,latest_10q_legal_regulatory_mentions,latest_10q_uncertainty_mentions,latest_10q_cost_cyber_mentions,latest_10q_data_quality_flag,latest_10q_warning_text
AAPL,Apple Inc,320193,2026-05-01,2026-03-28,10-Q,12216.0,98.0,68.3,8.02,20.0,76.0,10.0,31.0,ok,
ABBV,AbbVie Inc,1551152,2026-05-08,2026-03-31,10-Q,640.0,8.0,62.6,12.5,0.0,4.0,1.0,0.0,ok,
ABT,Abbott Laboratories,1800,2026-04-29,2026-03-31,10-Q,406.0,6.0,51.9,14.78,0.0,5.0,0.0,0.0,ok,
ADBE,Adobe Systems Inc,796343,2026-06-15,2026-05-29,10-Q,12220.0,26.0,40.1,2.13,39.0,19.0,9.0,2.0,ok,
ADI,Analog Devices Inc,6281,2026-05-20,2026-05-02,10-Q,730.0,5.0,28.8,6.85,0.0,0.0,0.0,0.0,ok,
ADSK,Autodesk Inc,769397,2026-05-29,2026-04-30,10-Q,12133.0,30.0,44.7,2.47,56.0,11.0,8.0,8.0,ok,
AKAM,Akamai Technologies Inc,1086222,2026-05-08,2026-03-31,10-Q,12046.0,38.0,41.2,3.15,39.0,5.0,7.0,21.0,ok,
AMAT,Applied Materials Inc,6951,2026-05-21,2026-04-26,10-Q,12873.0,44.0,45.2,3.42,31.0,9.0,12.0,27.0,ok,
AMD,Advanced Micro Devices,2488,2026-05-06,2026-03-28,10-Q,10514.0,16.0,36.5,1.52,51.0,7.0,10.0,1.0,ok,
AMGN,Amgen Inc,318154,2026-05-01,2026-03-31,10-Q,12235.0,22.0,43.0,1.8,57.0,20.0,8.0,1.0,ok,
AMT,American Tower Corp,1053354,,,,,,,,,,,,submissions_error,Failed to fetch submissions for CIK 1053354
AMZN,Amazon COM Inc,1018724,2026-04-30,2026-03-31,10-Q,12026.0,46.0,55.4,3.83,49.0,20.0,8.0,3.0,ok,
ATVI,Activision Blizzard Inc,718877,2023-07-31,2023-06-30,10-Q,13110.0,51.0,47.7,3.89,24.0,28.0,6.0,6.0,ok,
AVGO,Broadcom Inc,1730168,2026-06-09,2026-05-03,10-Q,12468.0,56.0,68.3,4.49,68.0,25.0,9.0,14.0,ok,
AXP,American Express Co,4962,2026-04-23,2026-03-31,10-Q,12245.0,76.0,87.6,6.21,125.0,62.0,40.0,8.0,ok,
BA,Boeing Co,12927,2026-04-22,2026-03-31,10-Q,12000.0,37.0,43.4,3.08,33.0,17.0,5.0,18.0,ok,
BAC,Bank of America Corp,70858,2026-05-01,2026-03-31,10-Q,11591.0,133.0,76.5,11.47,100.0,44.0,1.0,9.0,ok,
BIIB,Biogen Inc,875045,2026-04-29,2026-03-31,10-Q,11904.0,52.0,61.0,4.37,39.0,20.0,9.0,21.0,ok,
BKNG,Booking Holdings Inc,1075531,2026-04-28,2026-03-31,10-Q,12333.0,26.0,43.5,2.11,49.0,41.0,5.0,4.0,ok,
BLK,BlackRock Inc,1364742,2024-08-06,2024-06-30,10-Q,12670.0,20.0,38.3,1.58,117.0,13.0,1.0,2.0,ok,
BMY,Bristol-Myers Squibb Co,14272,2026-04-30,2026-03-31,10-Q,12384.0,24.0,54.8,1.94,50.0,45.0,17.0,17.0,ok,
C,Citigroup Inc,831001,2026-05-07,2026-03-31,10-Q,5860.0,77.0,63.0,13.14,47.0,5.0,0.0,3.0,ok,
CAT,Caterpillar Inc,18230,2026-05-06,2026-03-31,10-Q,12148.0,50.0,57.8,4.12,59.0,5.0,10.0,21.0,ok,
CB,Chubb Ltd,896159,2026-04-28,2026-03-31,10-Q,12452.0,67.0,46.3,5.38,52.0,3.0,6.0,1.0,ok,
CDNS,Cadence Design Systems Inc,813672,2026-05-01,2026-03-31,10-Q,11995.0,27.0,44.7,2.25,68.0,17.0,0.0,13.0,ok,
CHTR,Charter Communications Inc,1091667,2026-04-24,2026-03-31,10-Q,12024.0,20.0,34.7,1.66,81.0,8.0,4.0,1.0,ok,
CL,Colgate-Palmolive Co,21665,2026-05-01,2026-03-31,10-Q,346.0,3.0,30.8,8.67,0.0,0.0,0.0,0.0,ok,
CMCSA,Comcast Corp,1166691,2026-04-23,2026-03-31,10-Q,12041.0,39.0,27.7,3.24,28.0,7.0,4.0,0.0,ok,
CME,CME Group Inc,1156375,2026-04-24,2026-03-31,10-Q,12258.0,72.0,61.8,5.87,63.0,16.0,3.0,16.0,ok,
