company_id,company_name,ticker,year,actual_market_cap,estimated_fair_value,valuation_gap_pct,quality_score,report_risk_score,model_error,final_signal,best_model_used,explanation_text,output_quality_flag,output_warning_text,final_signal_display,model_output_source,era,valuation_gap_percentile_year,valuation_gap_percentile_era,valuation_bucket_year,valuation_bucket_era,final_signal_calibrated,calibration_warning_text,report_risk_score_original,report_risk_score_real,risk_score_source,risk_score_components,filing_data_quality_flag,filing_warning_text,report_risk_available,final_signal_calibrated_risk_adjusted,risk_adjustment_reason
789019,Microsoft Corp,MSFT,2010,177555885452.2705,239343902566.5132,34.79919404352957,81.43453768453767,50,-0.2986160335666739,Research candidate,Ridge Regression,"Research signal: Research candidate. This signal was assigned because the model-estimated fair value is 34.8% above actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (-0.30). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Research candidate,legacy_xbrl_2010_2016,legacy_2010_2016,85.7,74.5,Above-average relative value,Above-average relative value,Research candidate,,50,33.5,real_sec_filing,"risk_per1k=7.6, debt=1, legal=18, uncertainty=14, cost+cyber=4",ok,,True,Research candidate,
789019,Microsoft Corp,MSFT,2011,169639207029.34265,214057025269.50916,26.183698343086164,75.7416036715102,50,-0.2325685825827861,Research candidate,Ridge Regression,"Research signal: Research candidate. This signal was assigned because the model-estimated fair value is 26.2% above actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (-0.23). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Research candidate,legacy_xbrl_2010_2016,legacy_2010_2016,61.5,70.8,Neutral relative value,Above-average relative value,Fairly valued / neutral,,50,42.3,real_sec_filing,"risk_per1k=8.2, debt=4, legal=19, uncertainty=14, cost+cyber=6",ok,,True,Fairly valued / neutral,
789019,Microsoft Corp,MSFT,2012,178341411392.2119,242535871371.80017,35.995262950123525,76.85069603293903,50,-0.3074498678922452,Research candidate,Ridge Regression,"Research signal: Research candidate. This signal was assigned because the model-estimated fair value is 36.0% above actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is moderate (-0.31). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Research candidate,legacy_xbrl_2010_2016,legacy_2010_2016,61.5,77.4,Neutral relative value,Above-average relative value,Fairly valued / neutral,,50,39.2,real_sec_filing,"risk_per1k=6.5, debt=5, legal=21, uncertainty=12, cost+cyber=5",ok,,True,Fairly valued / neutral,
789019,Microsoft Corp,MSFT,2013,254592907035.82764,406614535226.1592,59.71165102762988,77.9297667545331,50,-0.4681998222863868,Research candidate,Ridge Regression,"Research signal: Research candidate. This signal was assigned because the model-estimated fair value is 59.7% above actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is moderate (-0.47). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Research candidate,legacy_xbrl_2010_2016,legacy_2010_2016,92.3,87.6,Top decile relative value,Above-average relative value,Research candidate,,50,37.6,real_sec_filing,"risk_per1k=6.5, debt=5, legal=21, uncertainty=10, cost+cyber=4",ok,,True,Research candidate,
789019,Microsoft Corp,MSFT,2014,316413669342.041,174371240474.42188,-44.89136931504443,51.90283859442739,50,0.5958638453449225,Potentially overvalued,Ridge Regression,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 44.9% below actual market cap; fundamentals are in the middle range of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is moderate (+0.60). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Potentially overvalued,legacy_xbrl_2010_2016,legacy_2010_2016,36.0,18.2,Below-average relative value,Low relative value,Potentially overvalued,,50,26.2,real_sec_filing,"risk_per1k=5.1, debt=2, legal=13, uncertainty=13, cost+cyber=6",ok,,True,Potentially overvalued,
789019,Microsoft Corp,MSFT,2015,377622197753.90625,189279158566.64896,-49.87605080091164,48.11375799693557,50,0.6906712641903034,Potentially overvalued,Ridge Regression,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 49.9% below actual market cap; fundamentals are in the middle range of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is high (+0.69) — treat this estimate with additional caution. The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Potentially overvalued,legacy_xbrl_2010_2016,legacy_2010_2016,30.8,13.9,Below-average relative value,Low relative value,Potentially overvalued,,50,19.7,real_sec_filing,"risk_per1k=4.0, debt=3, legal=5, uncertainty=12, cost+cyber=2",ok,,True,Potentially overvalued,
1288776,Google Inc.,GOOGL,2011,208005255635.28094,100495798814.25871,-51.685932883124195,72.66744366744366,50,0.7274474230772441,Potentially overvalued,Ridge Regression,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 51.7% below actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is high (+0.73) — treat this estimate with additional caution. The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Potentially overvalued,legacy_xbrl_2010_2016,legacy_2010_2016,7.7,11.7,Low relative value,Low relative value,Potentially overvalued,,50,57.6,real_sec_filing,"risk_per1k=11.1, debt=5, legal=38, uncertainty=13, cost+cyber=4",ok,,True,Potentially overvalued,
1288776,Google Inc.,GOOGL,2012,231368935883.4105,201984442145.81805,-12.700276130586358,76.56017217465816,50,0.1358228861553989,Potentially overvalued,Ridge Regression,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 12.7% below actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.14). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Potentially overvalued,legacy_xbrl_2010_2016,legacy_2010_2016,34.6,49.6,Below-average relative value,Neutral relative value,Potentially overvalued,,50,48.9,real_sec_filing,"risk_per1k=9.7, debt=1, legal=42, uncertainty=11, cost+cyber=10",ok,,True,Potentially overvalued,
1288776,Google Inc.,GOOGL,2013,373062257936.7408,335014644389.43494,-10.198730302478758,70.65277687006659,50,0.1075710716092785,Potentially overvalued,Ridge Regression,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 10.2% below actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.11). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Potentially overvalued,legacy_xbrl_2010_2016,legacy_2010_2016,50.0,51.1,Neutral relative value,Neutral relative value,Fairly valued / neutral,,50,57.3,real_sec_filing,"risk_per1k=11.2, debt=3, legal=42, uncertainty=13, cost+cyber=12",ok,,True,Fairly valued / neutral,
1288776,Google Inc.,GOOGL,2015,530063393497.0093,519807071327.4193,-1.9349236893959996,68.69752703163918,50,0.0195388837114158,Fairly valued / neutral,Ridge Regression,"Research signal: Fairly valued / neutral. This signal was assigned because the model-estimated fair value is within 5% of actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.02). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",neutral_report_risk,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,Fairly valued / neutral,legacy_xbrl_2010_2016,legacy_2010_2016,76.9,57.7,Above-average relative value,Neutral relative value,Research candidate,,50,65.3,real_sec_filing,"risk_per1k=12.9, debt=5, legal=38, uncertainty=14, cost+cyber=10",ok,,True,Research candidate,
