revenue,net_income,operating_income,gross_profit,assets,liabilities,equity,cash,debt,_prior_revenue,_prior_net_income,_latest_end,latest_fundamentals_period,latest_fundamentals_form,profit_margin,gross_margin,operating_margin,debt_to_assets,return_on_assets,return_on_equity,cash_to_assets,revenue_growth,net_income_growth,log_revenue,log_assets,ticker,company_name,data_freshness,latest_model_feature_source,output_quality_flag,company_id,estimated_fair_value,current_price,current_market_cap,daily_change_pct,last_updated,market_data_as_of,current_valuation_gap_pct,quality_score,latest_10q_risk_score,latest_10q_filing_date,filing_risk_delta,filing_risk_trend,annual_10k_risk_score,latest_10q_period,latest_10q_data_quality_flag,report_risk_score_real,report_risk_available,filing_risk_score,has_latest_10q_update,report_risk_score,final_signal,valuation_gap_percentile_year,valuation_bucket_year,final_signal_calibrated,final_signal_calibrated_risk_adjusted,risk_adjustment_reason,final_signal_display,actual_market_cap,valuation_gap_pct,year,latest_model_year,model_error,best_model_used,current_signal_as_of,signal_basis,warning_text,latest_filing_period,report_risk_score_original,risk_score_source,risk_score_components,filing_data_quality_flag,filing_warning_text,output_warning_text,calibration_warning_text,era,valuation_bucket_era,valuation_gap_percentile_era,explanation_text,Market_Cap_B
444335000000.0,119889000000.0,144528000000.0,212597000000.0,371082000000.0,264591000000.0,106491000000.0,45572000000.0,82700000000.0,396189000000.0,106194000000.0,2026-03-28,2026-Q1,10-Q,0.26981669236049377,0.4784610710387433,0.3252680972689525,0.22286179335025683,0.32307953498148656,1.1258134490238612,0.12280843587131685,0.12152280855854158,0.12896208825357358,26.81984461938771,26.639688899390343,AAPL,Apple Inc,current_ttm,sec_company_facts_ttm,neutral_report_risk,320193,2950647817337.134,308.9100036621094,4537071195746.704,-7.353864245054428,2026-07-31T21:28:32,2026-07-31,-35.0,75.1,68.3,2026-05-01,-5.0,Stable,73.3,2026-Q1,ok,73.3,True,68.3,True,68.3,Potentially overvalued,40.5,Neutral relative value,Fairly valued / neutral,Fairly valued / neutral,,Fairly valued / neutral,4537071195746.704,-35.0,2026,2026-Q1,,Random Forest,2026-08-01T01:15:46,Latest TTM fundamentals + current market data + latest 10-Q risk,Signal uses latest available filing fundamentals plus current market data. It may not reflect filings or events after the latest available filing update.,2026-Q1,50,real_sec_filing,"risk_per1k=16.5, debt=3, legal=69, uncertainty=39, cost+cyber=32",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Neutral relative value,40.5,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 23.0% below actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.26). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",4537.071195746704
31443000000.0,7565000000.0,11518000000.0,24210000000.0,66164000000.0,,-2921000000.0,8015000000.0,36487000000.0,,6648000000.0,2018-09-30,2018-Q3,10-Q,0.24059409089463474,0.7699646980249976,0.3663136469166428,0.5514630312556678,0.1143371017471737,-2.5898664840807943,0.12113838341091833,,0.13793622141997597,24.17144221980256,24.915402345326385,ABBV,AbbVie Inc,stale_fundamentals,sec_company_facts_ttm,neutral_report_risk,1551152,143691704733.78464,250.94000244140625,443358994815.19904,-2.5135003024964044,2026-07-31T21:28:32,2026-07-31,-67.6,36.4,62.6,2026-05-08,21.5,Increasing,41.1,2026-Q1,ok,41.1,True,62.6,True,62.6,Potentially overvalued,15.5,Low relative value,Potentially overvalued,Potentially overvalued,,Potentially overvalued,443358994815.19904,-67.6,2026,2018-Q3,,Random Forest,2026-08-01T01:15:46,Older-quarter fundamentals + current market data + latest 10-Q risk,Current fundamentals could not be built from recent filings for this ticker — signal uses the latest historical model fundamentals. Treat as less current.,2018-Q3,50,real_sec_filing,"risk_per1k=6.6, debt=2, legal=72, uncertainty=16, cost+cyber=5",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Low relative value,15.5,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 11.8% below actual market cap; fundamentals are in the middle range of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.13). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",443.358994815199
44033000000.0,5825000000.0,7147000000.0,16737000000.0,110429000000.0,,52061000000.0,6803000000.0,12929000000.0,41334000000.0,5498000000.0,2026-03-31,2026-Q1,10-Q,0.13228714827515728,0.3801012876706107,0.162310085617605,0.11707975260121889,0.05274882503690154,0.11188797756477978,0.06160519428773239,0.06529733391396908,0.05947617315387421,24.50820518975522,25.42763861745417,ABT,Abbott Laboratories,current_ttm,sec_company_facts_ttm,neutral_report_risk,1800,126291623151.40521,105.6999969482422,182901509106.4893,0.0852157346562914,2026-07-31T21:28:32,2026-07-31,-31.0,44.9,51.9,2026-04-29,-39.5,Decreasing,91.4,2026-Q1,ok,91.4,True,51.9,True,51.9,Potentially overvalued,44.0,Neutral relative value,Fairly valued / neutral,Fairly valued / neutral,,Fairly valued / neutral,182901509106.4893,-31.0,2026,2026-Q1,,Random Forest,2026-08-01T01:15:46,Latest TTM fundamentals + current market data + latest 10-Q risk,Signal uses latest available filing fundamentals plus current market data. It may not reflect filings or events after the latest available filing update.,2026-Q1,50,real_sec_filing,"risk_per1k=15.1, debt=27, legal=89, uncertainty=49, cost+cyber=92",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Neutral relative value,44.0,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 20.1% below actual market cap; fundamentals are in the middle range of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.22). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",182.9015091064893
24877000000.0,7064000000.0,8938000000.0,22218000000.0,29933000000.0,18415000000.0,11518000000.0,4919000000.0,4802000000.0,22304000000.0,6759000000.0,2026-05-29,2026-Q2,10-Q,0.28395706877838967,0.8931141214776701,0.35928769546167144,0.16042494905288476,0.23599371930645108,0.613300920298663,0.16433367854875888,0.11536047345767586,0.04512501849386008,23.93720951876905,24.12222738766699,ADBE,Adobe Systems Inc,current_ttm,sec_company_facts_ttm,neutral_report_risk,796343,111721033067.09004,250.41000366210935,99537976455.68848,1.012509006625109,2026-07-31T21:28:32,2026-07-31,12.2,76.8,40.1,2026-06-15,29.6,Increasing,10.5,2026-Q2,ok,10.5,True,40.1,True,40.1,Research candidate,78.4,Above-average relative value,Research candidate,Research candidate,,Research candidate,99537976455.68848,12.2,2026,2026-Q2,,Random Forest,2026-08-01T01:15:46,Latest TTM fundamentals + current market data + latest 10-Q risk,Signal uses latest available filing fundamentals plus current market data. It may not reflect filings or events after the latest available filing update.,2026-Q2,50,real_sec_filing,"risk_per1k=1.9, debt=4, legal=1, uncertainty=0, cost+cyber=4",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Above-average relative value,78.4,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 24.7% below actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.28). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",99.53797645568848
12304144000.0,3095464000.0,3872678000.0,7886132000.0,47949095000.0,,33742033000.0,2436916000.0,6517077000.0,9534490000.0,1655560000.0,2026-05-02,2026-Q2,10-Q,0.2515789802199974,0.6409330059856256,0.3147458287224207,0.13591657986454175,0.0645572976924799,0.09173910771766479,0.05082298216473116,0.2904879023419187,0.8697383362729227,23.233201953152268,24.59340576427084,ADI,Analog Devices Inc,current_ttm,sec_company_facts_ttm,neutral_report_risk,6281,109125748728.88423,367.4100036621094,178960651150.16602,0.201813676405486,2026-07-31T21:28:32,2026-07-31,-39.0,64.7,28.8,2026-05-20,-27.2,Decreasing,56.0,2026-Q2,ok,56.0,True,28.8,True,28.8,Potentially overvalued,35.8,Below-average relative value,Potentially overvalued,Potentially overvalued,,Potentially overvalued,178960651150.16602,-39.0,2026,2026-Q2,,Random Forest,2026-08-01T01:15:46,Latest TTM fundamentals + current market data + latest 10-Q risk,Signal uses latest available filing fundamentals plus current market data. It may not reflect filings or events after the latest available filing update.,2026-Q2,50,real_sec_filing,"risk_per1k=10.2, debt=6, legal=29, uncertainty=28, cost+cyber=19",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Below-average relative value,35.8,"Research signal: Fairly valued / neutral. This signal was assigned because the model-estimated fair value is within 5% of actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.00). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",178.96065115016603
7183000000.0,1299000000.0,1688000000.0,6524000000.0,11932000000.0,,3189000000.0,2671000000.0,2500000000.0,6125000000.0,961000000.0,2026-04-30,2026-Q2,10-Q,0.1808436586384519,0.9082556035082835,0.23499930391201448,0.20952061682869594,0.10886691250419041,0.40733772342427094,0.22385182701977874,0.17273469387755092,0.35171696149843923,22.694982960039077,23.202489703598914,ADSK,Autodesk Inc,current_ttm,sec_company_facts_ttm,neutral_report_risk,769397,70904805417.71442,234.1999969482422,49450217139.83583,-0.327703225288613,2026-07-31T21:28:32,2026-07-31,43.4,68.1,44.7,2026-05-29,-10.7,Decreasing,55.4,2026-Q2,ok,55.4,True,44.7,True,44.7,Research candidate,89.7,Above-average relative value,Research candidate,Research candidate,,Research candidate,49450217139.83583,43.4,2026,2026-Q2,,Random Forest,2026-08-01T01:15:46,Latest TTM fundamentals + current market data + latest 10-Q risk,Signal uses latest available filing fundamentals plus current market data. It may not reflect filings or events after the latest available filing update.,2026-Q2,50,real_sec_filing,"risk_per1k=13.1, debt=6, legal=27, uncertainty=9, cost+cyber=14",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Above-average relative value,89.7,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 20.9% below actual market cap; fundamentals are in the middle range of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.23). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",49.45021713983583
2562483000.0,201897000.0,350737000.0,,4686904000.0,1300647000.0,3386258000.0,363703000.0,,2372617000.0,315857000.0,2018-03-31,2018-Q1,10-Q,0.07878959587244092,,0.13687388365113057,,0.04307683707624479,0.05962245050436204,0.07759983989430976,0.08002387237383868,-0.3607961830828508,21.66424254724259,22.268038073492452,AKAM,Akamai Technologies Inc,stale_fundamentals,sec_company_facts_ttm,neutral_report_risk,1086222,14075601168.970226,115.18000030517578,16745496290.54812,1.2571431254292582,2026-07-31T21:28:32,2026-07-31,-15.9,38.9,41.2,2026-05-08,-16.2,Decreasing,57.4,2026-Q1,ok,57.4,True,41.2,True,41.2,Potentially overvalued,56.0,Neutral relative value,Fairly valued / neutral,Fairly valued / neutral,,Fairly valued / neutral,16745496290.54812,-15.9,2026,2018-Q1,,Random Forest,2026-08-01T01:15:46,Older-quarter fundamentals + current market data + latest 10-Q risk,Current fundamentals could not be built from recent filings for this ticker — signal uses the latest historical model fundamentals. Treat as less current.,2018-Q1,50,real_sec_filing,"risk_per1k=12.3, debt=5, legal=36, uncertainty=10, cost+cyber=35",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Neutral relative value,56.0,"Research signal: Possible value trap. This signal was assigned because the model-estimated fair value is 89.4% above actual market cap; fundamentals score in the lower third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is high (-0.64) — treat this estimate with additional caution. The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",16.74549629054812
29324000000.0,8748000000.0,8756000000.0,14429000000.0,40286000000.0,16377000000.0,23909000000.0,6301000000.0,5448000000.0,27690000000.0,6749000000.0,2026-04-26,2026-Q2,10-Q,0.29832219342518074,0.4920542900013641,0.2985950075023871,0.13523308345330884,0.21714739611775802,0.3658873227654858,0.1564066921511195,0.05901047309498009,0.296192028448659,24.10167213030775,24.419269851002642,AMAT,Applied Materials Inc,current_ttm,sec_company_facts_ttm,neutral_report_risk,6951,115372813814.94952,507.6700134277344,403069394489.17633,1.175842426459216,2026-07-31T21:28:32,2026-07-31,-71.4,65.1,45.2,2026-05-21,-21.6,Decreasing,66.8,2026-Q2,ok,66.8,True,45.2,True,45.2,Potentially overvalued,13.8,Low relative value,Potentially overvalued,Potentially overvalued,,Potentially overvalued,403069394489.17633,-71.4,2026,2026-Q2,,Random Forest,2026-08-01T01:15:46,Latest TTM fundamentals + current market data + latest 10-Q risk,Signal uses latest available filing fundamentals plus current market data. It may not reflect filings or events after the latest available filing update.,2026-Q2,50,real_sec_filing,"risk_per1k=14.8, debt=7, legal=36, uncertainty=12, cost+cyber=42",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Low relative value,13.8,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 11.1% below actual market cap; fundamentals score in the upper third of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.12). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",403.0693944891763
34622000000.0,4207000000.0,3418000000.0,16991000000.0,79642000000.0,,64462000000.0,5585000000.0,1000000.0,25565000000.0,1868000000.0,2026-03-28,2026-Q1,10-Q,0.12151233319854428,0.4907573219340304,0.09872335509213795,1.2556188945531252e-05,0.05282388689384998,0.06526325587167633,0.07012631526079205,0.3542734206923528,1.2521413276231264,24.26775515510095,25.10080742883562,AMD,Advanced Micro Devices,current_ttm,sec_company_facts_ttm,neutral_report_risk,2488,147239789437.1199,476.1499938964844,776410484307.4535,-1.903628107934105,2026-07-31T21:28:32,2026-07-31,-81.0,57.4,36.5,2026-05-06,-0.6,Stable,37.1,2026-Q1,ok,37.1,True,36.5,True,36.5,Potentially overvalued,7.3,Low relative value,Potentially overvalued,Potentially overvalued,,Potentially overvalued,776410484307.4535,-81.0,2026,2026-Q1,,Random Forest,2026-08-01T01:15:46,Latest TTM fundamentals + current market data + latest 10-Q risk,Signal uses latest available filing fundamentals plus current market data. It may not reflect filings or events after the latest available filing update.,2026-Q1,50,real_sec_filing,"risk_per1k=9.2, debt=4, legal=12, uncertainty=25, cost+cyber=7",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Low relative value,7.3,"Research signal: Potentially overvalued. This signal was assigned because the model-estimated fair value is 23.5% below actual market cap; fundamentals are in the middle range of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (+0.27). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",776.4104843074535
35503000000.0,8197000000.0,9026000000.0,18081000000.0,92504000000.0,,9190000000.0,12038000000.0,57323000000.0,32487000000.0,5193000000.0,2026-03-31,2026-Q1,10-Q,0.23088189730445313,0.5092809058389431,0.25423203672929046,0.6196813110784398,0.0886123843293263,0.8919477693144723,0.13013491308483957,0.09283713485394163,0.578471018678991,24.292883036899514,25.250517723773072,AMGN,Amgen Inc,current_ttm,sec_company_facts_ttm,neutral_report_risk,318154,161035747624.7335,385.1600036621094,207874040790.31073,-0.639771667684339,2026-07-31T21:28:32,2026-07-31,-22.5,59.5,43.0,2026-05-01,11.2,Increasing,31.8,2026-Q1,ok,31.8,True,43.0,True,43.0,Potentially overvalued,50.0,Neutral relative value,Fairly valued / neutral,Fairly valued / neutral,,Fairly valued / neutral,207874040790.31073,-22.5,2026,2026-Q1,,Random Forest,2026-08-01T01:15:46,Latest TTM fundamentals + current market data + latest 10-Q risk,Signal uses latest available filing fundamentals plus current market data. It may not reflect filings or events after the latest available filing update.,2026-Q1,50,real_sec_filing,"risk_per1k=5.6, debt=5, legal=40, uncertainty=1, cost+cyber=6",ok,,Report risk is currently neutral because filing-text extraction has not yet been integrated for this dataset.,,current,Neutral relative value,50.0,"Research signal: Research candidate. This signal was assigned because the model-estimated fair value is 14.1% above actual market cap; fundamentals are in the middle range of the training dataset; report risk is set to neutral because SEC filing text has not been integrated into this dataset; and the log-scale model error is low (-0.13). The valuation gap is a research signal, not proof of undervaluation or overvaluation. This output is for research purposes only and does not constitute investment advice.",207.87404079031074
