ticker,year,market_cap,price_used,shares_used,data_source,data_quality_flag
MSFT,2017,603274416525.0157,78.32450103759766,7702243979.0,yfinance+sec_facts,ok
MSFT,2018,725507596103.645,94.61228942871094,7668217316.0,yfinance+sec_facts,ok
MSFT,2019,1138205408868.9453,149.0693359375,7635409400.0,yfinance+sec_facts,ok
MSFT,2020,1607934101249.6973,212.474609375,7567652935.0,yfinance+sec_facts,ok
MSFT,2021,2434634873911.5293,323.9747314453125,7514891248.0,yfinance+sec_facts,ok
MSFT,2022,1739043462316.8125,233.181640625,7457891872.0,yfinance+sec_facts,ok
MSFT,2023,2740639354957.0854,368.8730163574219,7429763722.0,yfinance+sec_facts,ok
MSFT,2024,3096294654249.1597,416.55841064453125,7433038381.0,yfinance+sec_facts,ok
GOOGL,2017,12741209781381.842,1044.1412353515625,12202573129.0,yfinance+yfinance_fast_info,ok
GOOGL,2018,12639128487053.402,1035.7756805419922,12202573129.0,yfinance+yfinance_fast_info,ok
GOOGL,2019,16200349541715.842,1327.6174926757812,12202573129.0,yfinance+yfinance_fast_info,ok
GOOGL,2020,21198742164511.387,1737.2354125976562,12202573129.0,yfinance+yfinance_fast_info,ok
GOOGL,2021,35040630149373.883,2871.5771484375,12202573129.0,yfinance+yfinance_fast_info,ok
GOOGL,2022,1067170190150.8578,87.45452117919922,12202573129.0,yfinance+yfinance_fast_info,ok
GOOGL,2023,1689595542055.247,138.4622344970703,12202573129.0,yfinance+yfinance_fast_info,ok
GOOGL,2024,2295313948457.4336,188.10081481933594,12202573129.0,yfinance+yfinance_fast_info,ok
AMZN,2017,566148820507.0718,1169.469985961914,484107183.0,yfinance+sec_facts,ok
AMZN,2018,737772035273.5581,1501.9700622558594,491202890.0,yfinance+sec_facts,ok
AMZN,2019,919874033825.9546,1847.8399658203125,497810444.0,yfinance+sec_facts,ok
AMZN,2020,1640075083995.619,3256.929931640625,503564743.0,yfinance+sec_facts,ok
AMZN,2021,1696660221589.859,3334.3399047851562,508844410.0,yfinance+sec_facts,ok
AMZN,2022,860769819588.0,84.0,10247259757.0,yfinance+sec_facts,ok
AMZN,2023,1578258738714.3577,151.94000244140625,10387381291.0,yfinance+sec_facts,ok
AMZN,2024,2325035836066.9395,219.38999938964844,10597729352.0,yfinance+sec_facts,ok
META,2017,444030954136.9851,174.92391967773438,2538423304.0,yfinance+yfinance_fast_info,ok
META,2018,329865156879.9501,129.94883728027344,2538423304.0,yfinance+yfinance_fast_info,ok
META,2019,516475911393.3468,203.46327209472656,2538423304.0,yfinance+yfinance_fast_info,ok
