year,era,total_rows,needs_review_rows,avg_valuation_gap_pct,median_valuation_gap_pct,avg_quality_score,avg_report_risk_score,orig_n_high_priority,orig_pct_high_priority,orig_n_research_candidate,orig_pct_research_candidate,orig_n_fairly_valued_neutral,orig_pct_fairly_valued_neutral,orig_n_possible_value_trap,orig_pct_possible_value_trap,orig_n_potentially_overvalued,orig_pct_potentially_overvalued,orig_n_needs_review,orig_pct_needs_review,cal_n_high_priority,cal_pct_high_priority,cal_n_research_candidate,cal_pct_research_candidate,cal_n_fairly_valued_neutral,cal_pct_fairly_valued_neutral,cal_n_possible_value_trap,cal_pct_possible_value_trap,cal_n_potentially_overvalued,cal_pct_potentially_overvalued,cal_n_needs_review,cal_pct_needs_review,orig_signal_concentrated,cal_signal_concentrated
2010,legacy_2010_2016,7,0,-10.7,-28.67,50.18,50.0,0,0.0,1,14.3,1,14.3,1,14.3,4,57.1,0,0.0,0,0.0,1,14.3,2,28.6,2,28.6,2,28.6,0,0.0,no,no
2011,legacy_2010_2016,26,3,3264.17,15.05,54.82,50.0,0,0.0,11,42.3,1,3.8,4,15.4,10,38.5,0,0.0,0,0.0,4,15.4,8,30.8,1,3.8,10,38.5,3,11.5,no,no
2012,legacy_2010_2016,26,3,34.39,26.39,49.6,50.0,0,0.0,8,30.8,1,3.8,8,30.8,9,34.6,0,0.0,0,0.0,1,3.8,8,30.8,4,15.4,10,38.5,3,11.5,no,no
2013,legacy_2010_2016,26,2,-0.07,-9.66,50.54,50.0,0,0.0,5,19.2,5,19.2,3,11.5,13,50.0,0,0.0,0,0.0,5,19.2,8,30.8,2,7.7,9,34.6,2,7.7,no,no
2014,legacy_2010_2016,25,3,-20.54,-29.96,51.28,50.0,0,0.0,3,12.0,4,16.0,1,4.0,17,68.0,0,0.0,0,0.0,7,28.0,8,32.0,0,0.0,7,28.0,3,12.0,yes,no
2015,legacy_2010_2016,26,4,7.64,-19.36,46.33,50.0,0,0.0,4,15.4,3,11.5,2,7.7,17,65.4,0,0.0,0,0.0,6,23.1,8,30.8,1,3.8,7,26.9,4,15.4,yes,no
2016,legacy_2010_2016,1,1,107.15,107.15,33.31,50.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,yes,yes
2017,modern_2017_2020,107,5,18.15,9.86,48.22,50.0,0,0.0,32,29.9,30,28.0,21,19.6,24,22.4,0,0.0,0,0.0,16,15.0,32,29.9,12,11.2,42,39.3,5,4.7,no,no
2018,modern_2017_2020,110,3,22.77,23.33,46.26,50.0,0,0.0,41,37.3,19,17.3,29,26.4,21,19.1,0,0.0,0,0.0,17,15.5,33,30.0,14,12.7,43,39.1,3,2.7,no,no
2019,modern_2017_2020,110,3,4.69,-1.97,48.68,50.0,0,0.0,28,25.5,24,21.8,16,14.5,42,38.2,0,0.0,0,0.0,16,14.5,33,30.0,15,13.6,43,39.1,3,2.7,no,no
2020,modern_2017_2020,110,5,2.13,-4.09,51.34,50.0,0,0.0,23,20.9,28,25.5,11,10.0,48,43.6,0,0.0,0,0.0,20,18.2,33,30.0,10,9.1,42,38.2,5,4.5,no,no
2021,modern_2021_2024,109,3,-8.29,-13.98,49.31,50.0,0,0.0,17,15.6,25,22.9,8,7.3,59,54.1,0,0.0,0,0.0,21,19.3,33,30.3,11,10.1,41,37.6,3,2.8,no,no
2022,modern_2021_2024,109,4,7.54,-0.75,47.98,50.0,0,0.0,25,22.9,36,33.0,14,12.8,34,31.2,0,0.0,0,0.0,14,12.8,33,30.3,15,13.8,43,39.4,4,3.7,no,no
2023,modern_2021_2024,109,3,2.61,-4.93,56.02,50.0,0,0.0,23,21.1,35,32.1,9,8.3,42,38.5,0,0.0,0,0.0,20,18.3,33,30.3,11,10.1,42,38.5,3,2.8,no,no
2024,modern_2021_2024,108,9,0.26,-10.01,52.68,50.0,0,0.0,23,21.3,22,20.4,9,8.3,54,50.0,0,0.0,0,0.0,19,17.6,32,29.6,10,9.3,38,35.2,9,8.3,no,no
