company_id,company_name,ticker
789019,Microsoft Corp,MSFT
1288776,Google Inc.,GOOGL
1018724,Amazon COM Inc,AMZN
1326801,Facebook Inc,META
1045810,Nvidia Corp,NVDA
1341439,Oracle Corp,ORCL
1065280,Netflix Inc,NFLX
1318605,Tesla Motors Inc,TSLA
796343,Adobe Systems Inc,ADBE
804328,Qualcomm Inc/De,QCOM
97476,Texas Instruments Inc,TXN
1108524,Salesforce COM Inc,CRM
1121788,Garmin LTD,GRMN
1032975,Logitech International SA,LOGI
47217,HP Inc,HPQ
1000180,Sandisk Corp,SNDK
50863,Intel Corp,INTC
858877,Cisco Systems Inc,CSCO
723125,Micron Technology Inc,MU
6951,Applied Materials Inc,AMAT
6281,Analog Devices Inc,ADI
743988,Xilinx Inc,XLNX
106040,Western Digital Corp,WDC
1137789,Seagate Technology PLC,STX
707549,LAM Research Corp,LRCX
896878,Intuit Inc,INTU
849399,Symantec Corp,SYMC
769397,Autodesk Inc,ADSK
1124610,VMware Inc,VMW
712515,Electronic Arts Inc,EA
718877,Activision Blizzard Inc,ATVI
1065088,eBay Inc,EBAY
68505,Motorola Solutions Inc,MSI
1043604,Juniper Networks Inc,JNPR
1086222,Akamai Technologies Inc,AKAM
