ticker,company_name,cik,sector,industry,active,universe_group,data_status,notes,validation_status,company_facts_status,market_cap_status,model_output_status,filing_10k_status,filing_10q_status,current_market_status,last_pipeline_run,failure_reason
ADBE,Adobe Systems Inc,796343,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
ADI,Analog Devices Inc,6281,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
ADSK,Autodesk Inc,769397,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
AKAM,Akamai Technologies Inc,1086222,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
AMAT,Applied Materials Inc,6951,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
AMZN,Amazon COM Inc,1018724,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
CRM,Salesforce COM Inc,1108524,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
CSCO,Cisco Systems Inc,858877,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
EA,Electronic Arts Inc,712515,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
EBAY,eBay Inc,1065088,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
GOOGL,Google Inc.,1288776,Technology,,True,current_demo,failed,bootstrapped from model outputs,,,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,,extract returned 0 rows
GRMN,Garmin LTD,1121788,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
HPQ,HP Inc,47217,Technology,,True,current_demo,available,bootstrapped from model outputs,,,,,,,,,
INTC,Intel Corp,50863,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
INTU,Intuit Inc,896878,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
LOGI,Logitech International SA,1032975,Technology,,True,current_demo,available,bootstrapped from model outputs,,,,,,,,,
LRCX,LAM Research Corp,707549,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
META,Facebook Inc,1326801,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
MSFT,Microsoft Corp,789019,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
MSI,Motorola Solutions Inc,68505,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
MU,Micron Technology Inc,723125,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
NFLX,Netflix Inc,1065280,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
NVDA,Nvidia Corp,1045810,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
ORCL,Oracle Corp,1341439,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
QCOM,Qualcomm Inc/De,804328,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
STX,Seagate Technology PLC,1137789,Technology,,True,current_demo,available,bootstrapped from model outputs,,,,,,,,,
TSLA,Tesla Motors Inc,1318605,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
TXN,Texas Instruments Inc,97476,Technology,,True,current_demo,available,bootstrapped from model outputs,,available,ok,ok,ok,ok,pending,,
WDC,Western Digital Corp,106040,Technology,,True,current_demo,available,bootstrapped from model outputs,,,,,,,,,
IBM,,,,,True,custom,pending,added via expand_universe_for_tickers; data not yet generated,,,available,,unavailable,failed,available,2026-07-18T01:26:15,too many values to unpack (expected 2)
AAPL,Apple Inc,320193,Technology,,True,expanded_100,available,Mega-cap consumer electronics + services,,available,ok,ok,ok,ok,ok,,
AMD,Advanced Micro Devices,2488,Technology,,True,expanded_100,available,CPU / GPU / data center chips,,available,ok,ok,ok,ok,ok,,
AVGO,Broadcom Inc,1730168,Technology,,True,expanded_100,available,Semiconductors / networking / software,,available,ok,ok,ok,ok,ok,,
