company_id,ticker,year,market_cap,data_quality_flag,company_name,assets,cash,CommonStockSharesOutstanding,cost_of_revenue,gross_profit,liabilities,LongTermDebt,LongTermDebtNoncurrent,net_income,operating_income,Revenues,SalesRevenueNet,equity,revenue,debt,profit_margin,gross_margin,debt_to_assets,return_on_assets,return_on_equity,cash_to_assets,revenue_growth,net_income_growth,log_assets,log_revenue,log_market_cap
789019,MSFT,2010,177555885452.2705,ok,Microsoft Corp,108704000000.0,9610000000.0,8376000000.0,15577000000.0,54366000000.0,51621000000.0,11900000000.0,11921000000.0,23150000000.0,27161000000.0,,69943000000.0,57083000000.0,69943000000.0,11900000000.0,0.3309838010951775,0.777290079064381,0.10947159258168973,0.21296364439211068,0.4055498134295675,0.08840521047983514,,,25.411894428924583,24.97094646157079,25.902551243926197
789019,MSFT,2011,169639207029.34265,ok,Microsoft Corp,121271000000.0,6938000000.0,8381000000.0,17530000000.0,56193000000.0,54908000000.0,11900000000.0,10713000000.0,16978000000.0,21763000000.0,,73723000000.0,66363000000.0,73723000000.0,11900000000.0,0.23029448069123612,0.762218032364391,0.09812733464719513,0.1400004947596705,0.2558353299278212,0.05721070989766721,0.054044007263057026,-0.266609071274298,25.52129354764362,25.023580663439837,25.8569397071098
789019,MSFT,2012,178341411392.2119,ok,Microsoft Corp,142431000000.0,3804000000.0,8328000000.0,20249000000.0,57600000000.0,63487000000.0,15600000000.0,12601000000.0,21863000000.0,26764000000.0,,77849000000.0,78944000000.0,77849000000.0,15600000000.0,0.2808385464167812,0.7398938971598864,0.10952671820039177,0.15349888718045931,0.2769431495743818,0.026707668976557068,0.05596625205159844,0.2877252915537756,25.68212350886103,25.07803688992876,25.90696559167483
789019,MSFT,2013,254592907035.82764,ok,Microsoft Corp,172384000000.0,8669000000.0,8239000000.0,26934000000.0,59899000000.0,82600000000.0,20600000000.0,20645000000.0,22074000000.0,27759000000.0,,86833000000.0,89784000000.0,86833000000.0,20600000000.0,0.2542121082998399,0.6898183870187602,0.11950064971227028,0.12805132726935214,0.24585672280139,0.05028888992017821,0.11540289534868786,0.009651008553263507,25.872990383444535,25.187252570692763,26.26293166343509
789019,MSFT,2014,316413669342.041,ok,Microsoft Corp,176223000000.0,5595000000.0,8027000000.0,33038000000.0,60542000000.0,96140000000.0,30300000000.0,27808000000.0,12193000000.0,18161000000.0,,93580000000.0,80083000000.0,93580000000.0,30300000000.0,0.13029493481513144,0.646954477452447,0.1719412335506716,0.06919074127667785,0.15225453591898405,0.03174954461108936,0.07770087409164717,-0.4476306967473045,25.895016075414414,25.262082522384482,26.480316274631228
789019,MSFT,2015,377622197753.90625,ok,Microsoft Corp,193694000000.0,6510000000.0,7808000000.0,32780000000.0,52540000000.0,121697000000.0,40800000000.0,40783000000.0,16798000000.0,20182000000.0,,85320000000.0,71997000000.0,85320000000.0,40800000000.0,0.19688232536333802,0.6157993436474449,0.21064152735758465,0.0867244209939389,0.23331527702543162,0.033609714291614606,-0.08826672365890142,0.3776757155745101,25.98954543114393,25.169674730549563,26.657160055914442
1288776,GOOGL,2011,208005255635.28094,ok,Google Inc.,72574000000.0,9983000000.0,324895000.0,13188000000.0,,,3000000000.0,2986000000.0,9737000000.0,11742000000.0,,37905000000.0,58145000000.0,37905000000.0,3000000000.0,0.25687903970452447,,0.0413371179761347,0.13416650591120788,0.16746065869808238,0.13755614958525092,,,25.00787256791271,24.35834886645468,26.060829183805826
1288776,GOOGL,2012,231368935883.4105,ok,Google Inc.,93798000000.0,14778000000.0,329979000.0,,,,3000000000.0,2988000000.0,10737000000.0,12760000000.0,50175000000.0,50175000000.0,71715000000.0,50175000000.0,3000000000.0,0.21399103139013453,,0.03198362438431523,0.11446939167146421,0.14971763229449905,0.15755133371713684,0.3237039968341908,0.10270103728047664,25.264409370769652,24.63878273162881,26.167279398456785
1288776,GOOGL,2013,373062257936.7408,ok,Google Inc.,110920000000.0,18898000000.0,335832000.0,,,,3255000000.0,1990000000.0,12920000000.0,13966000000.0,59825000000.0,,87309000000.0,59825000000.0,3255000000.0,0.21596322607605517,,0.02934547421565092,0.11648034619545619,0.1479801624116643,0.17037504507753334,0.19232685600398614,0.2033156375151346,25.43207505769399,24.81468947074085,26.64501115402063
1288776,GOOGL,2015,530063393497.0093,ok,Google Inc.,147461000000.0,16549000000.0,687348000.0,28164000000.0,,,3225000000.0,1995000000.0,16348000000.0,19360000000.0,74989000000.0,,120331000000.0,74989000000.0,3225000000.0,0.21800530744509194,,0.021870189406012437,0.11086321128976476,0.13585859005576287,0.11222628355972088,0.13617975485219924,0.1318194405981723,25.716829570984988,25.040607273059447,26.996262446711544
